Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1765234856630,08/12/2025 23:00:56,1765234843426,-5,08/12/2025 18:00:43,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,BEGIN QUESTIONNAIRE,
2,1765234889057,08/12/2025 23:01:29,1765234875913,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,dob-day,25
3,1765234889200,08/12/2025 23:01:29,1765234875915,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,dob-month,12
4,1765234889200,08/12/2025 23:01:29,1765234875915,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,dob-year,1991
5,1765234889200,08/12/2025 23:01:29,1765234875915,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,gender,Female
6,1765234889200,08/12/2025 23:01:29,1765234875915,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,gender-quantised,1
7,1765234889200,08/12/2025 23:01:29,1765234875915,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,language,English
8,1765234889200,08/12/2025 23:01:29,1765234875915,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,language-quantised,5
9,1765234889200,08/12/2025 23:01:29,1765234875916,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,language-text,
10,1765234889200,08/12/2025 23:01:29,1765234875916,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,language-detail,nonr
11,1765234889200,08/12/2025 23:01:29,1765234875916,-5,08/12/2025 18:01:15,250842,10,questionnaire-ywpx,,51269962,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Demographic_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,END QUESTIONNAIRE,32490
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
